variable,label
seqn,Respondent sequence number
alq100,Had at least 12 alcohol drinks/1 yr?
alq110,Had at least 12 alcohol drinks/lifetime?
alq120q,How often drink alcohol over past 12 mos
alq120u,"# days drink alcohol per wk, mo, yr"
alq130,Avg # alcoholic drinks/day -past 12 mos
alq140q,# days have 5 or more drinks/past 12 mos
alq140u,"# days per week, month, year?"
alq150,Ever have 5 or more drinks every day?
bmaexlen,length of a MEC exam (sec)
bmaexsts,Status of a MEC exam
bmaexcmt,Comment code for an exam
bmxwt,Weight (kg)
bmiwt,Weight Comment
bmxrecum,Recumbent Length (cm)
bmirecum,Recumbent Length Comment
bmxhead,Head Circumference (cm)
bmihead,Head Circumference Comment
bmxht,Standing Height (cm)
bmiht,Standing Height Comment
bmxbmi,Body Mass Index (kg/m**2)
bmxleg,Upper Leg Length (cm)
bmileg,Upper Leg Length Comment
bmxcalf,Maximal Calf Circumference (cm)
bmicalf,Maximal Calf Comment
bmxarml,Upper Arm Length (cm)
bmiarml,Upper Arm Length Comment
bmxarmc,Arm Circumference (cm)
bmiarmc,Arm Circumference Comment
bmxwaist,Waist Circumference (cm)
bmiwaist,Waist Circumference Comment
bmxthicr,Thigh Circumference (cm)
bmithicr,Thigh Circumference Comment
bmxtri,Triceps Skinfold (mm)
bmitri,Triceps Skinfold Comment
bmxsub,Subscapular Skinfold (mm)
bmisub,Subscapular Skinfold Comment
bmaamp,Amputations?
bmaurext,Amputations: Upper Right Extremity?
bmauprel,Amputations: UR  Above or Below Elbow?
bmaulext,Amputations: Upper Left Extremity?
bmauplel,Amputations: UL  Above or Below Elbow?
bmalorex,Amputations: Lower Right Extremity?
bmalorkn,Amputations: LR  Above or Below Knee?
bmallext,Amputations: Lower Left Extremity?
bmallkne,Amputations: LL  Above or Below Knee?
bpq010,Last blood pressure reading by doctor
bpq020,Ever told you had high blood pressure
bpq030,Told had high blood pressure - 2+ times
bpq040a,Taking prescription for hypertension
bpq040b,Told to control weight for hypertension
bpq040c,Told to reduce sodium for hypertension
bpq040d,Told to exercise more for hypertension
bpq040e,Told to reduce alcohol for hypertension
bpq040f,Told to do other things for hypertension
bpq043a,Told to stop smoking for hypertension
bpq043b,Told to increase potassium for hyprtnsn
bpq043c,Told of other diet changes for hyprtnsn
bpq043d,Told to do other things for hyprtnsn
bpq050a,Now taking prescribed medicine
bpq050b,Now controlling weight
bpq050c,Now reducing salt/sodium
bpq050d,Now exercising more
bpq050e,Now reducing alcohol consumption
bpq060,Ever had blood cholesterol checked
bpq070,When blood cholesterol last checked
bpq080,Doctor told you - high cholesterol level
bpq090a,Told to eat less fat for cholesterol
bpq090b,Told to reduce weight for cholesterol
bpq090c,Told to exercise more for cholesterol
bpq090d,Told to take prescriptn for cholesterol
bpq100a,Now eating fewer high fat foods
bpq100b,Now controlling weight
bpq100c,Now increasing exercise
bpq100d,Now taking prescribed medicine
bpq110a,Eating fewer high fat foods on own
bpq110b,Controlling weight on own
bpq110c,Increasing exercise on own
bpq120,Eating fewer high fat foods on own
bpq130,Controlling weight on own
bpq140,Increasing exercise on own
peascst1,Blood Pressure Status
peasctm1,Blood Pressure Time in Seconds
peascct1,Blood Pressure Comment
bpxchr,60 sec HR (30 sec HR * 2)
bpq150a,Had food in the past 30 minutes?
bpq150b,Had alcohol in the past 30 minutes?
bpq150c,Had coffee in the past 30 minutes?
bpq150d,Had cigarettes in the past 30 minutes?
bpaarm,Arm selected:
bpacsz,Coded cuff size
bpxpls,60 sec. pulse (30 sec. pulse * 2):
bpxdb,# of dropped beats in 30 seconds
bpxpuls,Pulse regular or irregular?
bpxpty,Pulse type:
bpxml1,MIL: maximum inflation levels (mm Hg)
bpxsy1,Systolic: Blood pres  (1st rdg) mm Hg
bpxdi1,Diastolic: Blood pres  (1st rdg) mm Hg
bpaen1,Enhancement used first reading
bpxsy2,Systolic: Blood pres  (2nd rdg) mm Hg
bpxdi2,Diastolic: Blood pres  (2nd rdg) mm Hg
bpaen2,Enhancement used second reading
bpxsy3,Systolic: Blood pres  (3rd rdg) mm Hg
bpxdi3,Diastolic: Blood pres  (3rd rdg) mm Hg
bpaen3,Enhancement used third reading
bpxsy4,Systolic: Blood pres  (4th rdg) mm Hg
bpxdi4,Diastolic: Blood pres  (4th rdg) mm Hg
bpaen4,Enhancement used fourth reading
bpxsar,SBP average reported to examinee
bpxdar,DBP average reported to examinee
dbq010,Ever breastfed or fed breastmilk
dbd020,Age started eating other foods (days)
dbd030,Age stopped breastfeeding(days)
dbd040,Age fed formula daily basis(days)
dbd050,Age when stopped receiving formula(days)
dbd060,Age first fed milk daily basis(days)
dbq070a,Type of milk first fed - whole milk
dbq070b,Type of milk first fed - 2% milk
dbq070c,Type of milk first fed - 1% milk
dbq070d,Type of milk first fed - skim/nonfat
dbd070j,Type of milk first fed - other
dbd080,Age started eating solid foods(days)
dbd090,# of times/week eat restaurant food
dbq095,Type of salt used at table
dbq100,How often add salt to food at table
dbq110,Ever eat poultry
dbq120,"When eat poultry, how often eat skin"
dbq130,"Ever eat beef, pork, lamb or veal"
dbq140,"When eating meat, ever eat visible fat"
dbd195,Past 30 day milk product consumption
dbq220a,You drink whole or regular milk
dbq220b,You drink 2% fat milk
dbq220c,You drink 1% fat milk
dbq220d,"You drink skim, nonfat or .5% milk"
dbd220j,You drank another type of milk
dbd235a,How often drank milk age 5-12
dbd235b,How often drank milk age 13-17
dbd235c,How often drank milk age 18-35
ald240,How often drink beer(per month)
ald250,How often drink wine(per month)
ald260,How often drink hard liquor(per month)
dbd270a,Helping of protein food eaten/day
dbd270b,Helping of milk/dairy foods eaten/day
dbd270c,Helping of fruit/fruit juices eaten/day
dbd270d,Helping of vegetables eaten/day
dbd270e,Helping of breads/grain foods eaten/day
dbq300,Community/Government meals delivered
dbq330,Eat meals at community/senior center
dbd360,Attend kindergarten thru high school
dbd370,School serves school lunches
dbd380,# of times/week get school lunch
dbq390,"School lunch free, reduced or full price"
dbd400,School serve complete breakfast each day
dbd410,# of times/week get school breakfast
dbq420,School breakfast free/reduced/full price
sddsrvyr,Data Release Number
ridstatr,Interview/Examination Status
ridexmon,Six month time period
riagendr,Gender
ridageyr,Age at Screening Adjudicated - Recode
ridagemn,Age in Months - Recode
ridageex,Exam Age in Months - Recode
ridreth1,Race/Ethnicity - Recode
ridreth2,Linked NH3 Race/Ethnicity - Recode
dmqmilit,Veteran/Military Status
dmdborn,Country of Birth - Recode
dmdcitzn,Citizenship Status
dmdyrsus,Length of time in US
dmdeduc3,Education Level - Children/Youth 6-19
dmdeduc2,Education Level - Adults 20+
dmdeduc,Education - Recode (old version)
dmdschol,Now attending school?
dmdmartl,Marital Status
dmdhhsiz,Total number of people in the Household
indhhinc,Annual Household Income
indfminc,Annual Family Income
indfmpir,Family PIR
ridexprg,Pregnancy Status at Exam - Recode
ridpreg,Pregnancy Status - Recode (old version)
dmdhrgnd,HH Ref Person Gender
dmdhrage,HH Ref Person Age
dmdhrbrn,HH Ref Person Country of Birth
dmdhredu,HH Ref Person Education Level
dmdhrmar,HH Ref Person Marital Status
dmdhsedu,HH Ref Person's Spouse Education Level
wtint2yr,Full Sample 2 Year Interview Weight
wtint4yr,Full Sample 4 Year Interview Weight
wtmec2yr,Full Sample 2 Year MEC Exam Weight
wtmec4yr,Full Sample 4 Year MEC Exam Weight
sdmvpsu,Masked Variance Pseudo-PSU
sdmvstra,Masked Variance Pseudo-Stratum
sdj1repn,Jack Knife Replicate Number
dmaethn,Logical Imputation Flag for Ethnicity
dmarace,Logical Imputation Flag for Race Recode
wtmrep01,MEC Exam Weight Jack Knife Replicate 01
wtmrep02,MEC Exam Weight Jack Knife Replicate 02
wtmrep03,MEC Exam Weight Jack Knife Replicate 03
wtmrep04,MEC Exam Weight Jack Knife Replicate 04
wtmrep05,MEC Exam Weight Jack Knife Replicate 05
wtmrep06,MEC Exam Weight Jack Knife Replicate 06
wtmrep07,MEC Exam Weight Jack Knife Replicate 07
wtmrep08,MEC Exam Weight Jack Knife Replicate 08
wtmrep09,MEC Exam Weight Jack Knife Replicate 09
wtmrep10,MEC Exam Weight Jack Knife Replicate 10
wtmrep11,MEC Exam Weight Jack Knife Replicate 11
wtmrep12,MEC Exam Weight Jack Knife Replicate 12
wtmrep13,MEC Exam Weight Jack Knife Replicate 13
wtmrep14,MEC Exam Weight Jack Knife Replicate 14
wtmrep15,MEC Exam Weight Jack Knife Replicate 15
wtmrep16,MEC Exam Weight Jack Knife Replicate 16
wtmrep17,MEC Exam Weight Jack Knife Replicate 17
wtmrep18,MEC Exam Weight Jack Knife Replicate 18
wtmrep19,MEC Exam Weight Jack Knife Replicate 19
wtmrep20,MEC Exam Weight Jack Knife Replicate 20
wtmrep21,MEC Exam Weight Jack Knife Replicate 21
wtmrep22,MEC Exam Weight Jack Knife Replicate 22
wtmrep23,MEC Exam Weight Jack Knife Replicate 23
wtmrep24,MEC Exam Weight Jack Knife Replicate 24
wtmrep25,MEC Exam Weight Jack Knife Replicate 25
wtmrep26,MEC Exam Weight Jack Knife Replicate 26
wtmrep27,MEC Exam Weight Jack Knife Replicate 27
wtmrep28,MEC Exam Weight Jack Knife Replicate 28
wtmrep29,MEC Exam Weight Jack Knife Replicate 29
wtmrep30,MEC Exam Weight Jack Knife Replicate 30
wtmrep31,MEC Exam Weight Jack Knife Replicate 31
wtmrep32,MEC Exam Weight Jack Knife Replicate 32
wtmrep33,MEC Exam Weight Jack Knife Replicate 33
wtmrep34,MEC Exam Weight Jack Knife Replicate 34
wtmrep35,MEC Exam Weight Jack Knife Replicate 35
wtmrep36,MEC Exam Weight Jack Knife Replicate 36
wtmrep37,MEC Exam Weight Jack Knife Replicate 37
wtmrep38,MEC Exam Weight Jack Knife Replicate 38
wtmrep39,MEC Exam Weight Jack Knife Replicate 39
wtmrep40,MEC Exam Weight Jack Knife Replicate 40
wtmrep41,MEC Exam Weight Jack Knife Replicate 41
wtmrep42,MEC Exam Weight Jack Knife Replicate 42
wtmrep43,MEC Exam Weight Jack Knife Replicate 43
wtmrep44,MEC Exam Weight Jack Knife Replicate 44
wtmrep45,MEC Exam Weight Jack Knife Replicate 45
wtmrep46,MEC Exam Weight Jack Knife Replicate 46
wtmrep47,MEC Exam Weight Jack Knife Replicate 47
wtmrep48,MEC Exam Weight Jack Knife Replicate 48
wtmrep49,MEC Exam Weight Jack Knife Replicate 49
wtmrep50,MEC Exam Weight Jack Knife Replicate 50
wtmrep51,MEC Exam Weight Jack Knife Replicate 51
wtmrep52,MEC Exam Weight Jack Knife Replicate 52
wtirep01,Interview Weight Jack Knife Replicate 01
wtirep02,Interview Weight Jack Knife Replicate 02
wtirep03,Interview Weight Jack Knife Replicate 03
wtirep04,Interview Weight Jack Knife Replicate 04
wtirep05,Interview Weight Jack Knife Replicate 05
wtirep06,Interview Weight Jack Knife Replicate 06
wtirep07,Interview Weight Jack Knife Replicate 07
wtirep08,Interview Weight Jack Knife Replicate 08
wtirep09,Interview Weight Jack Knife Replicate 09
wtirep10,Interview Weight Jack Knife Replicate 10
wtirep11,Interview Weight Jack Knife Replicate 11
wtirep12,Interview Weight Jack Knife Replicate 12
wtirep13,Interview Weight Jack Knife Replicate 13
wtirep14,Interview Weight Jack Knife Replicate 14
wtirep15,Interview Weight Jack Knife Replicate 15
wtirep16,Interview Weight Jack Knife Replicate 16
wtirep17,Interview Weight Jack Knife Replicate 17
wtirep18,Interview Weight Jack Knife Replicate 18
wtirep19,Interview Weight Jack Knife Replicate 19
wtirep20,Interview Weight Jack Knife Replicate 20
wtirep21,Interview Weight Jack Knife Replicate 21
wtirep22,Interview Weight Jack Knife Replicate 22
wtirep23,Interview Weight Jack Knife Replicate 23
wtirep24,Interview Weight Jack Knife Replicate 24
wtirep25,Interview Weight Jack Knife Replicate 25
wtirep26,Interview Weight Jack Knife Replicate 26
wtirep27,Interview Weight Jack Knife Replicate 27
wtirep28,Interview Weight Jack Knife Replicate 28
wtirep29,Interview Weight Jack Knife Replicate 29
wtirep30,Interview Weight Jack Knife Replicate 30
wtirep31,Interview Weight Jack Knife Replicate 31
wtirep32,Interview Weight Jack Knife Replicate 32
wtirep33,Interview Weight Jack Knife Replicate 33
wtirep34,Interview Weight Jack Knife Replicate 34
wtirep35,Interview Weight Jack Knife Replicate 35
wtirep36,Interview Weight Jack Knife Replicate 36
wtirep37,Interview Weight Jack Knife Replicate 37
wtirep38,Interview Weight Jack Knife Replicate 38
wtirep39,Interview Weight Jack Knife Replicate 39
wtirep40,Interview Weight Jack Knife Replicate 40
wtirep41,Interview Weight Jack Knife Replicate 41
wtirep42,Interview Weight Jack Knife Replicate 42
wtirep43,Interview Weight Jack Knife Replicate 43
wtirep44,Interview Weight Jack Knife Replicate 44
wtirep45,Interview Weight Jack Knife Replicate 45
wtirep46,Interview Weight Jack Knife Replicate 46
wtirep47,Interview Weight Jack Knife Replicate 47
wtirep48,Interview Weight Jack Knife Replicate 48
wtirep49,Interview Weight Jack Knife Replicate 49
wtirep50,Interview Weight Jack Knife Replicate 50
wtirep51,Interview Weight Jack Knife Replicate 51
wtirep52,Interview Weight Jack Knife Replicate 52
diq010,Doctor told you have diabetes
diq040g,Age when first told you had diabetes
diq040q,Number of years of age
diq050,Taking insulin now
diq060g,How long taking insulin
diq060q,Number of mos/yrs taking insulin
diq060u,Unit of measure (month/year)
diq070,Take diabetic pills to lower blood sugar
diq080,Diabetes affected eyes/had retinopathy
diq090,Ulcer/sore not healed within 4 weeks
diq100,Numbness in hands/feet-past 3 mos
diq110,"Numbness in hands, feet or both"
diq120,Pain/tingling in hands/feet - past 3 mos
diq130,"Pain/tingling in hands,feet or both"
diq140,Pain in either leg while walking
diq150,Pain  in calf or calves
wtdrd1,Dietary day one 2-Year sample weight
wtdr4yr,Dietary day one 4-Year sample weight
drddrsts,Dietary recall status
drdexmer,Interviewer ID code (sequential #)
drascst2,Post dietary recall section status
drdainmd,Assigned mode of interview
drdintmd,Mode of interview
drdday,Intake day of the week
dralang,Language SP/Proxy used mostly
draresp,Main respondent for the interview
drdtsodf,Salt adjustment flag
drxtkcal,Energy (kcal)
drxtprot,Protein (gm)
drxtcarb,Carbohydrate (gm)
drxttfat,Total fat (gm)
drxtsfat,Total saturated fatty acids (gm)
drxtmfat,Total monounsaturated fatty acids (gm)
drxtpfat,Total polyunsaturated fatty acids (gm)
drxtchol,Cholesterol (mg)
drxtfibe,Dietary fiber (gm)
drxtvaiu,Vitamin A (IU)
drxtvare,Vitamin A (RE)
drxtcaro,Carotene (RE)
drxtvb1,Thiamin (Vitamin B1) (mg)
drxtvb2,Riboflavin (Vitamin B2) (mg)
drxtniac,Niacin (mg)
drxtvb6,Vitamin B6 (mg)
drxtfola,Total Folate (mcg)
drxtvb12,Vitamin B12 (mcg)
drxtvc,Vitamin C (mg)
drxtve,Vitamin E (ATE) (mg)
drxtcalc,Calcium (mg)
drxtphos,Phosphorus (mg)
drxtmagn,Magnesium (mg)
drxtiron,Iron (mg)
drxtzinc,Zinc (mg)
drxtcopp,Copper (mg)
drdtsodi,Sodium (mg)
drxtpota,Potassium (mg)
drxtsele,Selenium (mcg)
drxtcaff,Caffeine (mg)
drxttheo,Theobromine (mg)
drxtalco,Alcohol (gm)
drxtwate,Moisture (gm)
drxts040,SFA 4:0 (Butanoic) (gm)
drxts060,SFA 6:0 (Hexanoic) (gm)
drxts080,SFA 8:0 (Octanoic) (gm)
drxts100,SFA 10:0 (Decanoic) (gm)
drxts120,SFA 12:0 (Dodecanoic) (gm)
drxts140,SFA 14:0 (Tetradecanoic) (gm)
drxts160,SFA 16:0 (Hexadecanoic) (gm)
drxts180,SFA 18:0 (Octadecanoic) (gm)
drxtm161,MFA 16:1 (Hexadecenoic) (gm)
drxtm181,MFA 18:1 (Octadecenoic) (gm)
drxtm201,MFA 20:1 (Eicosenoic) (gm)
drxtm221,MFA 22:1 (Docosenoic) (gm)
drxtp182,PFA 18:2 (Octadecadienoic) (gm)
drxtp183,PFA 18:3 (Octadecatrienoic) (gm)
drxtp184,PFA 18:4 (Octadecatetraenoic) (gm)
drxtp204,PFA 20:4 (Eicosatetraenoic) (gm)
drxtp205,PFA 20:5 (Eicosapentaenoic) (gm)
drxtp225,PFA 22:5 (Docosapentaenoic) (gm)
drxtp226,PFA 22:6 (Docosahexaenoic) (gm)
drq300,Compare food consumed yesterday to usual
drd320gw,Total plain water drank yesterday (gm)
drd330gw,Total home tap water drank yesterday(gm)
drq340,Shellfish eaten during past 30 days
drd350a,Clams eaten during past 30 days
drq350aq,Num times clams eaten in past 30 days
drd350b,Crabs eaten during past 30 days
drq350bq,Num times crabs eaten in past 30 days
drd350c,Crayfish eaten during past 30 days
drq350cq,Num times crayfish eaten in past 30 days
drd350d,Lobsters eaten during past 30 days
drq350dq,Num times lobsters eaten in past 30 days
drd350e,Mussels eaten during past 30 days
drq350eq,Num times mussels eaten in past 30 days
drd350f,Oysters eaten during past 30 days
drq350fq,Num times oysters eaten in past 30 days
drd350g,Scallops eaten during past 30 days
drq350gq,Num times scallops eaten in past 30 days
drd350h,Shrimp eaten during past 30 days
drq350hq,Num times shrimp eaten in past 30 days
drd350i,Other shellfish eaten past 30 days
drq350iq,Num times other shellfish eaten
drd350j,Other unknown shellfish eaten past 30 d
drq350jq,Num times other unknown shellfish eaten
drd350k,Refused
drq360,Fish eaten during past 30 days
drd370a,Breaded fish products eaten past 30 days
drq370aq,Num times breaded fish products eaten
drd370b,Tuna eaten during past 30 days
drq370bq,Num times tuna eaten in past 30 days
drd370c,Bass eaten during past 30 days
drq370cq,Num times bass eaten in past 30 days
drd370d,Catfish eaten during past 30 days
drq370dq,Num times catfish eaten in past 30 days
drd370e,Cod eaten during past 30 days
drq370eq,Num times cod eaten in past 30 days
drd370f,Flatfish eaten during past 30 days
drq370fq,Num times flatfish eaten in past 30 days
drd370g,Haddock eaten during past 30 days
drq370gq,Num times haddock eaten in past 30 days
drd370h,Mackerel eaten during past 30 days
drq370hq,Num times mackerel eaten in past 30 days
drd370i,Perch eaten during past 30 days
drq370iq,Num times perch eaten in past 30 days
drd370j,Pike eaten during past 30 days
drq370jq,Num times pike eaten in past 30 days
drd370k,Pollock eaten during past 30 days
drq370kq,Num times pollock eaten in past 30 days
drd370l,Porgy eaten during past 30 days
drq370lq,Num times porgy eaten in past 30 days
drd370m,Salmon eaten during past 30 days
drq370mq,Num times salmon eaten in past 30 days
drd370n,Sardines eaten during past 30 days
drq370nq,Num times sardines eaten in past 30 days
drd370o,Sea bass eaten during past 30 days
drq370oq,Num times sea bass eaten in past 30 days
drd370p,Shark eaten during past 30 days
drq370pq,Num times shark eaten in past 30 days
drd370q,Swordfish eaten during past 30 days
drq370qq,Num times swordfish eaten past 30 days
drd370r,Trout eaten during past 30 days
drq370rq,Num times trout eaten in past 30 days
drd370s,Walleye eaten during past 30 days
drq370sq,Num times walleye eaten in past 30 days
drd370t,Other fish eaten during past 30 days
drq370tq,Num times other fish eaten past 30 days
drd370u,Other unknown fish eaten in past 30 days
drq370uq,Num times other unknown fish eaten
drd370v,Refused
ecq010,Mother's age when born
ecq020,Mother smoked when pregnant
ecq030,Mother quit smoking while pregnant
ecq040,Mother quit smoking while pregnant (mo)
ecq060,Receive newborn care at health facility
ecd070a,"Weight at birth, pounds"
ecd070b,"Weight at birth, ounces"
ecq080,Weight more/less than 5.5 lbs
ecq090,Weight more/less than 9.0 lbs
ecd100,Ever attend day care or preschool
ecd110,Now attend day care or preschool
fsq121,Now attend headstart
ecq130,Hours spent away from home/weekday day
ecq140,Hours spent away from home/weekend day
imq010,Received hepatitis A vaccine series
imq020,Received hepatitis B 3 dose series
imq030,Had pneumonia vaccination
lbxgh,Glycohemoglobin:(%)
lbxglu,"Glucose, plasma (mg/dL)"
lbxglusi,Plasma glucose: SI(mmol/L)
lbxcpsi,C-peptide: SI(nmol/L)
lbxin,Insulin (uU/mL)
lbxinsi,Insulin: SI(pmol/L)
lbxcrp,C-reactive protein(mg/dL)
lbxhp1,Helicobacter pylori (ISR)
lbxfb,Fibrinogen (mg/dL)
lbdfbsi,Fibrinogen (g/L)
lbxbap,Bone alkaline phosphotase (ug/L)
urxnt,N-telopeptides (NTx) (nmol BCE)
lbxtc,Total cholesterol (mg/dL)
lbdtcsi,Total cholesterol (mmol/L)
lbdhdl,HDL-cholesterol (mg/dL)
lbdhdlsi,HDL-cholesterol (mmol/L)
lbxtr,Triglyceride (mg/dL)
lbdtrsi,Triglyceride (mmol/L)
lbdldl,LDL-cholesterol (mg/dL)
lbdldlsi,LDL-cholesterol (mmol/L)
lbxsal,Albumin (g/dL)
lbdsalsi,Albumin (g/L)
lbxsatsi,ALT (U/L)
lbxsassi,AST (U/L)
lbxsapsi,Alkaline phosphotase (U/L)
lbxsbu,Blood urea nitrogen (mg/dL)
lbdsbusi,Blood urea nitrogen (mmol/L)
lbxsca,"Calcium, total (mg/dL)"
lbdscasi,"Calcium, total (mmol/L)"
lbxsch,"Cholesterol, total (mg/dL)"
lbdschsi,"Cholesterol, total (mmol/L)"
lbxsc3si,Bicarbonate (mmol/L)
lbxsgtsi,GGT (U/L)
lbxsgl,Glucose (mg/dL)
lbdsglsi,Glucose (mmol/L)
lbxsir,Iron (ug/dL)
lbdsirsi,Iron (umol/L)
lbxsldsi,LDH (U/L)
lbxsph,Phosphorus (mg/dL)
lbdsphsi,Phosphorus (mmol/L)
lbxstb,"Bilirubin, total (mg/dL)"
lbdstbsi,"Bilirubin, total (umol/L)"
lbxstp,"Protein, total (g/dL)"
lbdstpsi,"Protein, total (g/L)"
lbxstr,Triglycerides (mg/dL)
lbdstrsi,Triglycerides (mmol/L)
lbxsua,Uric acid (mg/dL)
lbdsuasi,Uric acid (umol/L)
lbxscr,Creatinine (mg/dL)
lbdscrsi,Creatinine (umol/L)
lbxsnasi,Sodium (mmol/L)
lbxsksi,Potassium (mmol/L)
lbxsclsi,Chloride (mmol/L)
lbxsossi,Osmolality (mOsm/kg)
lbxsgb,Globulin (g/dL)
lbdsgbsi,Globulin (g/L)
lbxfsh,Follicle stimulating hormone (mIU/mL)
lbdfshsi,Follicle stimulating hormone (IU/L)
lbxlh,Luteinizing hormone (mIU/mL)
lbdlhsi,Luteinizing hormone (IU/L)
wtsth2yr,Thyroid hormones Subsample 2 yr Mec Wgt
wtsth4yr,Thyroid hormones Subsample 4 yr Mec Wgt
lbxt4,Thyroxine (T4) (ug/dL)
lbdt4si,Thyroxine (T4) (nmol/L)
lbxtsh,Thyroid stim hormone (TSH) (IU/L)
lbxwbcsi,White blood cell count (SI)
lbxlypct,Lymphocyte percent (%)
lbxmopct,Monocyte percent (%)
lbxnepct,Segmented neutrophils percent (%)
lbxeopct,Eosinophils percent (%)
lbxbapct,Basophils percent (%)
lbdlymno,Lymphocyte number
lbdmono,Monocyte number
lbdneno,Segmented neutrophils number
lbdeono,Eosinophils number
lbdbano,Basophils number
lbxrbcsi,Red cell count SI
lbxhgb,Hemoglobin (g/dL)
lbxhct,Hematocrit (%)
lbxmcvsi,Mean cell volume (fL)
lbxmchsi,Mean cell hemoglobin (pg)
lbxmc,MCHC (g/dL)
lbxrdw,Red cell distribution width (%)
lbxpltsi,Platelet count (%) SI
lbxmpsi,Mean platelet volume (fL)
leaarm,Arm:
ledarmcf,brachial cuff size
leaankl,Ankles:
ledankcf,ankle cuff size
lexbrp1,Brachial SBP 1
lexbrp2,Brachial SBP 2
lexbrpm,Mean Brachial SBP
lexlpts1,Left Posterior Tibial SBP 1
lexlpts2,Left Posterior Tibial SBP 2
lexlptsm,Left Mean Posterior Tibial SBP
lexlabpi,Left ABPI
lexrpts1,Right Posterior Tibial SBP 1
lexrpts2,Right Posterior Tibial SBP 2
lexrptsm,Right Mean Posterior Tibial SBP
lexrabpi,Right ABPI
mcq010,Ever been told you have asthma
mcq020,Age when first had asthma
mcq030,Still have asthma
mcq040,Had asthma attack in past year
mcq050,Emergency care visit for asthma/past yr
mcq053,Taking treatment for anemia/past 3 mos
mcq060,Told have attention deficit disorder?
mcq080,Doctor ever said you were overweight
mcq083,Ever told you have learning disability
mcq090,Ever had chickenpox
mcq092,Ever receive blood transfusion
mcd093,Year receive blood transfusion
mcq100,Told have high blood pressure
mcq110,Taking medicine for high blood pressure
mcq114,Ever tested for lead poisoning
mcq117q,How long since lead poisoning test
mcq117u,Months or years
mcq120a,Had hay fever in past year
mcq120b,Had 3 or more ear infections/past year
mcq120c,Had frequent/severe headaches/past yr
mcq120d,Stuttering/Stammering in past year
mcq140,Trouble seeing even with glass/contacts
mcq147,Menstrual periods started yet?
mcq148,Age when menstrual periods started
mcq150g,School days missed from injury/illness
mcq150q,# school days missed from injury/illness
mcq160a,Doctor ever said you had arthritis
mcq160b,Ever told had congestive heart failure
mcq160c,Ever told you had coronary heart disease
mcq160d,Ever told you had angina/angina pectoris
mcq160e,Ever told you had heart attack
mcq160f,Ever told you had a stroke
mcq160g,Ever told you had emphysema
mcq160h,Ever told you had a goiter
mcq160i,Ever told you had thyroid disease
mcq160j,Doctor said you were overweight
mcq160k,Ever told you had chronic bronchitis
mcq160l,Ever told you had any liver condition
mcq170h,Do you still have a goiter
mcq170i,Do you still have thyroid disease
mcq170k,Do you still have chronic bronchitis
mcq170l,Do you still have a liver condition
mcq180a,Age when told you had arthritis
mcq180b,Age when told you had heart failure
mcq180c,Age when told had coronary heart disease
mcq180d,Age when told you had angina pectoris
mcq180e,Age when told you had heart attack
mcq180f,Age when told you had a stroke
mcq180g,Age when told you had emphysema
mcq180h,Age when told you had a goiter
mcq180i,Age when told you had thyroid disease
mcq180k,Age when told you had chronic bronchitis
mcq180l,Age when told you had a liver condition
mcq190,Which type of arthritis
mcq200,Ever told had stomach/duod/peptic ulcer
mcq210,Had ulcer in past year
mcq220,Ever told you had cancer or malignancy
mcq230a,What kind of cancer
mcq230b,What kind of cancer
mcq230c,What kind of cancer
mcq230d,What kind of cancer
mcq240a,Age when bladder cancer first diagnosed
mcq240b,Age when blood cancer first diagnosed
mcq240c,Age when bone cancer first diagnosed
mcq240d,Age when brain cancer first diagnosed
mcq240e,Age when breast cancer first diagnosed
mcq240f,Age when cervical cancer first diagnosed
mcq240g,Age when colon cancer first diagnosed
mcq240h,Age esophageal cancer first diagnosed
mcq240i,Age gallbladder cancer first diagnosed
mcq240j,Age when kidney cancer first diagnosed
mcq240k,Age larynx/windpipe cancer diagnosed
mcq240l,Age when leukemia first diagnosed
mcq240m,Age when liver cancer first diagnosed
mcq240n,Age when lung cancer first diagnosed
mcq240o,Age lymphoma/Hodgkin's diagnosed
mcq240p,Age when melanoma first diagnosed
mcq240q,Age mouth\tongue\lip cancer diagnosed
mcq240r,Age nervous system cancer diagnosed
mcq240s,Age when ovarian cancer first diagnosed
mcq240t,Age pancreatic cancer first diagnosed
mcq240u,Age prostate cancer first diagnosed
mcq240v,Age when rectal cancer first diagnosed
mcq240w,Age non-melanoma skin cancer diagnosed
mcq240x,Age unknown skin cancer first diagnosed
mcq240y,Age soft tissue cancer first diagnosed
mcq240z,Age stomach cancer first diagnosed
mcq240aa,Age testicular cancer first diagnosed
