variable,label
mcq240bb,Age when thyroid cancer first diagnosed
mcq240cc,Age when uterine cancer first diagnosed
mcq240dd,Age other type of cancer first diagnosed
mcq245a,Work days missed for illness/maternity
mcq245b,# of workdays missed
mcq250a,Blood relatives have diabetes
mcq250b,Blood relatives have Alzheimer's
mcq250c,Blood relatives have asthma
mcq250d,Blood relatives have arthritis
mcq250e,Blood relatives have osteoporosis
mcq250f,Blood relatives w/hypertension/stroke
mcq250g,Blood relatives have angina
mcq260aa,Blood relative-diabetes-mother
mcq260ab,Blood relative-diabetes-father
mcq260ac,Blood relative-diabetes-mother's mother
mcq260ad,Blood relative-diabetes-mother's father
mcq260ae,Blood relative-diabetes-father's mother
mcq260af,Blood relative-diabetes-father's father
mcq260ag,Blood relative-diabetes-brother
mcq260ah,Blood relative-diabetes-sister
mcq260ai,Blood relative-diabetes-other
mcq260ba,Blood relative-Alzheimer's-mother
mcq260bb,Blood relative-Alzheimer's-father
mcq260bc,Blood relative-Alzheimer's-mom's mother
mcq260bd,Blood relative-Alzheimer's-mom's father
mcq260be,Blood relative-Alzheimer's-dad's mother
mcq260bf,Blood relative-Alzheimer's-dad's father
mcq260bg,Blood relative-Alzheimer's-brother
mcq260bh,Blood relative-Alzheimer's-sister
mcq260bi,Blood relative-Alzheimer's-other
mcq260ca,Blood relative-asthma-mother
mcq260cb,Blood relative-asthma-father
mcq260cc,Blood relative-asthma-mother's mother
mcq260cd,Blood relative-asthma-mother's father
mcq260ce,Blood relative-asthma-father's mother
mcq260cf,Blood relative-asthma-father's father
mcq260cg,Blood relative-asthma-brother
mcq260ch,Blood relative-asthma-sister
mcq260ci,Blood relative-asthma-other
mcq260da,Blood relative-arthritis-mother
mcq260db,Blood relative-arthritis-father
mcq260dc,Blood relative-arthritis-mother's mother
mcq260dd,Blood relative-arthritis-mother's father
mcq260de,Blood relative-arthritis-father's mother
mcq260df,Blood relative-arthritis-father's father
mcq260dg,Blood relative-arthritis-brother
mcq260dh,Blood relative-arthritis-sister
mcq260di,Blood relative-arthritis-other
mcq260ea,Blood relative-osteoporosis-mother
mcq260eb,Blood relative-osteoporosis-father
mcq260ec,Blood relative-osteoporosis-mom's mother
mcq260ed,Blood relative-osteoporosis-mom's father
mcq260ee,Blood relative-osteoporosis-dad's mother
mcq260ef,Blood relative-osteoporosis-dad's father
mcq260eg,Blood relative-osteoporosis-brother
mcq260eh,Blood relative-osteoporosis-sister
mcq260ei,Blood relative-osteoporosis-other
mcq260fa,Blood relative-hypertension-mother
mcq260fb,Blood relative-hypertension-father
mcq260fc,Blood relative-hypertension-mom's mother
mcq260fd,Blood relative-hypertension-mom's father
mcq260fe,Blood relative-hypertension-dad's mother
mcq260ff,Blood relative-hypertension-dad's father
mcq260fg,Blood relative-hypertension-brother
mcq260fh,Blood relative-hypertension-sister
mcq260fi,Blood relative-hypertension-other
mcq260ga,Blood relative-heart attack-mother
mcq260gb,Blood relative-heart attack-father
mcq260gc,Blood relative-heart attack-mom's mother
mcq260gd,Blood relative-heart attack-mom's father
mcq260ge,Blood relative-heart attack-dad's mother
mcq260gf,Blood relative-heart attack-dad's father
mcq260gg,Blood relative-heart attack-brother
mcq260gh,Blood relative-heart attack-sister
mcq260gi,Blood relative-heart attack-other
mcq270,Your mother ever fracture hip
mcq280,Mother's age when fractured hip
mcq290,Mother under/over 50 when fracture hip
pad020,Walked or bicycled over past 30 days
paq050q,# times walked or bicycled
paq050u,Unit of measure (day/week/month)
pad080,How long per day (minutes)
paq100,Tasks around home/yard past 30 days
pad120,# of times past 30 days
pad160,How long each time (minutes)
paq180,Avg level of physical activity each day
pad200,Vigorous activity over past 30 days
pad320,Moderate activity over past 30 days
pad440,Muscle strengthening activities
pad460,Number of times past 30 days
paq480,"Daily hours of TV, video or computer use"
paq500,Activity comparison last mo - last yr
paq520,Compare activity w/others same age
paq540,Compare activity with 10 years ago
paq560,# time/week you play or exercise hard
pad570,# of hours watch TV or videos yesterday
paq580,# hours use computer/games yesterday
paaquex,Questionnaire source flag for weighting
smq020,Smoked at least 100 cigarettes in life
smd030,Age started smoking cigarettes regularly
smq040,Do you now smoke cigarettes...
smq050q,How long since quit smoking cigarettes
smq050u,Unit of measure (day/week/month/year)
smd055,Age last smoked cigarettes regularly
smd057,# cigarettes smoked per day when quit
smd070,# cigarettes smoked per day now
smd075,How many years smoked this amount
smd080,# days smoked cigs during past 30 days
smd090,Avg # cigarettes/day during past 30 days
smd100br,Cigarette Brand/sub-brand
smd100fl,Filter type
smd100mn,Menthol indicator
smd100ln,Length
smd100tr,FTC Tar Content
smd100ni,FTC Nicotine Content
smd100co,FTC Carbon Monoxide Content
smq120,Smoked a pipe at least 20 times in life
smd130,Age started smoking pipes regularly
smq140,Do you now smoke a pipe...
smq143,# pipefuls of tobacco smoked per day
smq145,# years smoked this amount of pipes
smq150,Smoked cigars at least 20 times in life
smd160,Age started smoking cigars regularly
smq170,Do you now smoke cigars...
smq173,# cigars smokes per day
smq175,# years smoked this amount of cigars
smq180,Used snuff at least 20 times in life
smd190,Age started using snuff regularly
smq200,Do you now use snuff...
smd203,# snuff pinches/dips/rubs per day
smq205,# years used this amount of snuff
smq210,Used chewing tobacco 20 times in life
smd220,Age started chewing tobacco regularly
smq230,Do you now use chewing tobacco...
smd233,# chewing plugs/wads/chaws per day
smd235,# years used this chewing tobacco amount
smd410,Does anyone smoke in the home
smd415,Total number of smokers in home
smd415a,Total # of cigarette smokers in home
smd415b,Total # of cigar smokers in home
smd415c,Total # of pipe smokers in home
smd430,Total # cigarettes smoked in home
smd440,Total # cigars smoked in home
smd450,Total # pipes smoked in home
smq620,Ever tried cigarette smoking
smd630,Age first smoked whole cigarette
smq640,# days smoked cigarettes in past month
smq650,# cigarettes per day during past month
smq660,Brands of cigarettes smoked/past mo
smq664b,Menthol or non-menthol BensonHedges
smq664c,Menthol or non-menthol Camels
smq664m,Menthol or non-menthol Marlboro
smq664o,Menthol or non-menthol other brand
smq664w,Menthol or non-menthol Winston
smq666b,"Regular, light or ultralite BensonHedges"
smq666c,"Regular, light or ultralite Camels"
smq666k,"Regular, light or ultralite Kools"
smq666m,"Regular, light or ultralite Marlboro"
smq666n,"Regular, light or ultralite Newport"
smq666o,"Regular, light or ultralite other brand"
smq666s,"Regular, light or ultralite Salem"
smq666w,"Regular, light or ultralite Winston"
smq670,Tried to quit smoking - past 12 months
smd680,Used tobacco or nicotine in last 5 days
smd690a,Used last 5 days - cigarettes
smd690b,Used last 5 days - pipes
smd690c,Used last 5 days - cigars
smd690d,Used last 5 days - chewing tobacco
smq690e,Used last 5 days - snuff
smd690f,"Used last 5 days - patch, gum, other"
smd710,# days smoked cigarettes - last 5 days
smd720,# cigarettes smoked/day - last 5 days
smq725,When did SP smoke last cigarette
smd740,# days smoked pipe - last 5 days
smd750,# pipes smoked/day - last 5 days
smq755,When did SP smoke last pipe
smd770,# days smoked cigars - last 5 days
smd780,# cigars smoked/day - last 5 days
smq785,When did SP smoke last cigar
smd800,# days used chewing tobacco- last 5 days
smq815,When did SP last use chewing tobacco
smq817,# days used snuff over last 5 days
smq819,When did SP last used snuff
smd830,# days used nicotine aids - last 5 days
smq840,Last time used nicotine stop smoking aid
smaquex,Questionnaire source flag for weighting
whd010,Current Self-reported height (inches)
whd020,Current Self-reported weight (pounds)
whq030,How do you consider your weight
whd040,"Like to weigh more, less or same"
whd050,Self-reported weight-1 yr ago (pounds)
whd060,Weight change intentional
whq070,Tried to lose weight in past year
whd080a,Ate less food to lose weight
whd080b,Lowered calories to lose weight
whq080c,Ate less fat to lose weight
whd080d,Exercised to lose weight
whq080e,Skipped meals to lose weight
whd080f,Ate diet products to lose weight
whq080g,Used liquid diet formula to lose weight
whq080h,Joined program to lose weight
whq080i,Took RX diet pills to lose weight
whq080j,Took non-RX suppl. to lose weight
whq080k,Took laxatives to lose weight
whd080l,Other methods to lose weight
whd080m,Drank a lot of water to lose weight
whd080n,Followed a special diet
whq090,Tried not to gain weight in past year
whq100a,Ate less to not gain weight
whq100b,Lowered calories to not gain weight
whd100c,Ate less fat to not gain weight
whd100d,Exercised
whq100e,Skipped meals to not gain weight
whd100f,Ate diet foods to not gain weight
whq100g,Used liquid diet formula to not gain
whq100h,Joined program to not gain weight
whq100i,Took RX diet pills to not gain
whq100j,Took non-RX suppl. to not gain weight
whq100k,Took laxatives to not gain weight
whd100l,Other methods to lose weight
whd100m,Drank a lot of water to not gain weight
whd100n,Followed a special diet to lose weight
whd110,Self-reported weight-10 yrs ago (pounds)
whd120,Self-reported weight - age 25 (pounds)
whd130,Self-reported height - age 25 (inches)
whd140,Self-reported greatest weight(pounds)
whd150,Age when heaviest weight
whd160,Least self-reported weight since 18(lbs)
whd170,Age when lightest weight
ald100,Had at least 12 alcohol drinks/1 yr?
alq140q,#days have 5 or more drinks/past 12 mos
bpd110a,Eating fewer high fat foods on own
bpd110b,Controlling weight on own
bpd110c,Increasing exercise on own
bpd120,Eating fewer high fat foods on own
bpd130,Controlling weight on own
bpd140,Increasing exercise on own
dbd020,Age started eating other foods(days)
dbd040,Age first fed formula daily(days)
dbd050,Age stopped receiving formula(days)
dbd071a,Type of milk first fed - whole milk
dbd071b,Type of milk first fed - 2% milk
dbd071c,Type of milk first fed - 1% milk
dbd071d,Type of milk first fed - skim/nonfat
dbd071u,Type of milk first fed - other
dbd102,# Times/month eat dark green vegetables
dbd103,#Times/month eat cooked dried beans/peas
dbd196,Past 30 day milk product consumption
dbd221a,You drink whole or regular milk
dbd221b,You drink 2% fat milk
dbd221c,You drink 1% fat milk
dbd221d,"You drink skim, nonfat or .5% milk"
dbd221u,You drink another type of milk
dbd229,Regular milk drinker
dbd235ae,How often drank milk age 5-12
dbd235be,How often drank milk age 13-17
dbd235ce,How often drank milk age 18-35
dbd301,Community/Government meals delivered
dbq330,Eat meals at Community/Senior center
dbq360,Attend kindergarten thru high school
dbq370,School serves school lunches
dbd381,# of times/week get school lunch
dbq400,School serve complete breakfast each day
dbd411,# of times/week get school breakfast
dbd421,School breakfast free/reduced/full price
did040g,Age when first told you had diabetes
did040q,Number of years of age
did060g,How long taking insulin
did060q,Number of mos/yrs taking insulin
drddrstz,Dietary recall status
drdexmer,Interviewer ID code
drdresp,Main respondent for the interview
drxtnumf,Number of foods
drxtsugr,Total sugars (gm)
drxtatoc,Vitamin E as alpha-tocopherol (mg)
drxtret,Retinol (mcg)
drxtvara,"Vitamin A, RAE (mcg)"
drxtacar,Alpha-carotene (mcg)
drxtbcar,Beta-carotene (mcg)
drxtcryp,Beta-cryptoxanthin (mcg)
drxtlyco,Lycopene (mcg)
drxtlz,Lutein + zeaxanthin (mcg)
drxtfa,Folic acid (mcg)
drxtff,Food folate (mcg)
drxtfdfe,"Folate, DFE (mcg)"
drxtvk,Vitamin K (mcg)
drxtmois,Moisture (gm)
drd300,Compare food consumed yesterday to usual
drd330gw,Total tap water drank yesterday (gm)
drdcwatr,Plain carbonated water (gm)
dbq095,Type of salt you use
dbd100,How often add salt to food at table
drd340,Shellfish eaten during past 30 days
drd350aq,# of times clams eaten in past 30 days
drd350bq,# of times crabs eaten in past 30 days
drd350cq,# of times crayfish eaten past 30 days
drd350dq,# of times lobsters eaten past 30 days
drd350eq,# of times mussels eaten in past 30 days
drd350fq,# of times oysters eaten in past 30 days
drd350gq,# of times scallops eaten past 30 days
drd350hq,# of times shrimp eaten in past 30 days
drd350iq,# of times other shellfish eaten
drd350jq,# of times other unknown shellfish eaten
drd350k,Refused on shellfish eaten past 30 days
drd360,Fish eaten during past 30 days
drd370aq,# of times breaded fish products eaten
drd370bq,# of times tuna eaten in past 30 days
drd370cq,# of times bass eaten in past 30 days
drd370dq,# of times catfish eaten in past 30 days
drd370eq,# of times cod eaten in past 30 days
drd370fq,# of times flatfish eaten past 30 days
drd370gq,# of times haddock eaten in past 30 days
drd370hq,# of times mackerel eaten past 30 days
drd370iq,# of times perch eaten in past 30 days
drd370jq,# of times pike eaten in past 30 days
drd370kq,# of times pollock eaten in past 30 days
drd370lq,# of times porgy eaten in past 30 days
drd370mq,# of times salmon eaten in past 30 days
drd370nq,# of times sardines eaten past 30 days
drd370oq,# of times sea bass eaten past 30 days
drd370pq,# of times shark eaten in past 30 days
drd370qq,# of times swordfish eaten past 30 days
drd370rq,# of times trout eaten in past 30 days
drd370sq,# of times walleye eaten in past 30 days
drd370tq,# of times other fish eaten past 30 days
drd370uq,# of times other unknown fish eaten
drd370v,Refused on fish eaten past 30 days
ecd010,Mother's age when born
ecq100,Ever attend day care or preschool
ecq110,Now attend day care or preschool
lb2gh,Glycohemoglobin (%)
lb2glu,Plasma glucose (mg/dL)
lb2glusi,Plasma glucose: SI(mmol/L)
lb2cp,C-peptide: pmol/mL
lb2cpsi,C-peptide: SI(nmol/L)
lb2in,Insulin (uU/mL)
lb2insi,Insulin: SI(pmol/L)
lbxgh,Glycohemoglobin (%)
lbdbap,Bone alkaline phosphatase (ug/L)
urdnt,N-Telopeptides (nmol BCE)
lb2tc,Total cholesterol (mg/dL)
lb2tcsi,Total cholesterol (mmol/L)
lb2hdl,HDL-cholesterol (mg/dL)
lb2hdlsi,HDL-cholesterol (mmol/L)
lb2tr,Triglyceride (mg/dL)
lb2trsi,Triglyceride (mmol/L)
lb2ldl,LDL-cholesterol (mg/dL)
lb2ldlsi,LDL-cholesterol (mmol/L)
lb2wbcsi,White blood cell count (1000 cells/uL)
lb2lypct,Lymphocyte percent (%)
lb2mopct,Monocyte percent (%)
lb2nepct,Segmented neutrophils percent (%)
lb2eopct,Eosinophils percent (%)
lb2bapct,Basophils percent (%)
lb2lymno,Lymphocyte number (1000 cells/uL)
lb2mono,Monocyte number (1000 cells/uL)
lb2neno,Segmented neutrophils num (1000 cell/uL)
lb2eono,Eosinophils number (1000 cells/uL)
lb2bano,Basophils number (1000 cells/uL)
lb2rbcsi,Red blood cell count (million cells/uL)
lb2hgb,Hemoglobin (g/dL)
lb2hct,Hematocrit (%)
lb2mcvsi,Mean cell volume (fL)
lb2mchsi,Mean cell hemoglobin (pg)
lb2mc,MCHC (g/dL)
lb2rdw,Red cell distribution width (%)
lb2pltsi,Platelet count (1000 cells/uL)
lb2mpsi,Mean platelet volume (fL)
lb2sal,Albumin (g/dL)
lb2salsi,Albumin (g/L)
lb2satsi,ALT (U/L)
lb2sassi,AST (U/L)
lb2sapsi,Alkaline phosphotase (U/L)
lb2sbu,Blood urea nitrogen (mg/dL)
lb2sbusi,Blood urea nitrogen (mmol/L)
lb2sca,Total calcium (mg/dL)
lb2scasi,Total calcium (mmol/L)
lb2sch,Cholesterol (mg/dL)
lb2schsi,Cholesterol (mmol/L)
lb2sc3si,Bicarbonate (mmol/L)
lb2sgtsi,GGT (U/L)
lb2sgl,Glucose (mg/dL)
lb2sglsi,"Glucose, serum (mmol/L)"
lb2sir,Iron (ug/dL)
lb2sirsi,Iron (umol/L)
lb2sldsi,LDH (U/L)
lb2sph,Phosphorus (mg/dL)
lb2sphsi,Phosphorus (mmol/L)
lb2stb,"Bilirubin, total (mg/dL)"
lb2stbsi,"Bilirubin, total (umol/L)"
lb2stp,"Protein, total (g/dL)"
lb2stpsi,Total protein (g/L)
lb2str,Triglycerides (mg/dL)
lb2strsi,Triglycerides (mmol/L)
lb2sua,Uric acid (mg/dL)
lb2suasi,Uric acid (umol/L)
lb2scr,Creatinine (mg/dL)
lb2scrsi,Creatinine (umol/L)
lb2snasi,Sodium (mmol/L)
lb2sksi,Potassium (mmol/L)
lb2sclsi,Chloride (mmol/L)
lb2fsh,Follicle stimulating hormone (mIU/mL)
lb2fshsi,Follicle stimulating hormone (IU/L)
lb2lh,Luteinizing hormone (mIU/mL)
lb2lhsi,Luteinizing hormone (IU/L)
lbxsatsi,ALT: SI (U/L)
lbxsassi,AST: SI (U/L)
lbdsapsi,Alkaline phosphatase (U/L)
lbxsca,Total Calcium (mg/dL)
lbdscasi,Total Calcium (mmol/L)
lbxsch,Cholesterol (mg/dL)
lbdschsi,Cholesterol (mmol/L)
lbxsc3si,Bicarbonate: SI (mmol/L)
lbxsgtsi,GGT: SI (U/L)
lbxsgl,"Glucose, serum (mg/dL)"
lbdsglsi,"Glucose, serum (mmol/L)"
lbdsldsi,LDH (U/L)
lbdsph,Phosphorus (mg/dL)
lbdstb,"Bilirubin, total (mg/dL)"
lbxstp,Total protein (g/dL)
lbdstpsi,Total protein (g/L)
lbdscr,Creatinine (mg/dL)
lbxsnasi,Sodium: SI (mmol/L)
lbxsksi,Potassium: SI (mmol/L)
lbxsclsi,Chloride: SI (mmol/L)
lbxsossi,Osmolality: SI (mmol/Kg)
ledscct2,ABPI Section Comment
leaarm,Arm tested
leaarmc,Arm comment
ledarmcf,Brachial cuff size used
leq020,"Large adult used, poor thigh cuff fit"
leaankl,Ankle(s) tested
leaanklc,Ankle comment
ledankcf,Ankle cuff size used
lexbrp1,Brachial SBP 1 (mm Hg)
lexbrp2,Brachial SBP 2 (mm Hg)
lexbrpm,Mean Brachial SBP (mm Hg)
lexlpts1,Left Posterior Tibial SBP 1 (mm Hg)
lexlpts2,Left Posterior Tibial SBP 2 (mm Hg)
lexlptsm,Left Mean Posterior Tibial SBP (mm Hg)
lexrpts1,Right Posterior Tibial SBP 1 (mm Hg)
lexrpts2,Right Posterior Tibial SBP 2 (mm Hg)
lexrptsm,Right Mean Posterior Tibial SBP (mm Hg)
lealptpd,Left PT pulse detected?
learptpd,Right PT pulse detected?
lealapnc,Left ankle SBP > 255 mm Hg?
learapnc,Right ankle SBP > 255 mm Hg?
mcq025,Age when first had asthma
mcq035,Still have asthma
mcd147,Menstrual periods started yet?
mcd160m,Ever told you had a thyroid problem
mcd170m,Do you still have a thyroid problem
mcd180m,Age when told you had a thyroid problem
pad480,"Daily hours of TV, video or computer use"
pad590,# hours watch TV or videos past 30 days
pad600,# of hours use computer past 30 days
smd030,Age started smoking cigarets regularly
smq040,Do you now smoke cigarettes
smd092,May I please see the pack of cigarettes
smdupca,Cig 12-digit Universal Product Code-UPC
smd100ln,Length in Millimeters
smd130,Age started pipe smoking regularly
smd160,Age started cigar smoking regularly
smq170,Do you now smoke cigars
smq200,Do you now use snuff ...
smq664c,Menthol or non-menthol Camel
smq666c,"Regular, light or ultralite Camel"
smq666k,"Regular, light or ultralite Kool"
smq670,Tried to quit smoking
smq680,Used tobacco/nicotine last 5 days?
smq690a,Used last 5 days - Cigarettes
smq690b,Used last 5 days - Pipes
smq690c,Used last 5 days - Cigars
smq690d,Used last 5 days - Chewing tobacco
smq690e,Used last 5 days - Snuff
smq690f,"Used last 5 days - Patch, gum, other"
smq710,# days smoked cigarettes last 5 days
smq720,# cigarettes smoked per day
smq725,When did SP smoke last cigarette?
smq740,# days smoked pipe over last 5 days
smq750,# pipes smoked per day - last 5 days
smq755,When did SP smoke last pipe?
smq770,# days smoked cigars over last 5 days
smq780,# cigars smoked per day - last 5 days
smq785,When did SP smoke last cigar?
smq800,# days used chewing tobacco -last 5 days
smq815,When did SP last use chewing tobacco?
smq819,When last used snuff
smq830,# days used nicotine stop smoking aids?
smaquex,Questionnaire Mode Flag
ssatg,Thyroglobulin antibody
sst3f,Free T3
sst4f,Free T4
sstgn,Thyroglobulin
sstpo,Thyroperoxidase antibody
sstsh1,Thyroid stimulating hormone
sstt3,Total T3
sstt4,Total T4
whq040,"Like to weigh more, less or same"
whq060,Weight change intentional
whd080a,Ate less food
whd080b,Switched to foods with lower calories
whd080c,Ate less fat
whd080d,Exercised
whd080e,Skipped meals
whd080f,Ate diet foods or products
whd080g,Used a liquid diet formula
whd080h,Joined a weight loss program
whd080i,Took prescription diet pills
whd080j,Took non-prescription diet pills
whd080k,Took laxatives or vomited
whd080l,Other
whd080m,Drank a lot of water
whd100a,Ate less food
whd100b,Switched to foods with lower calories
whd100c,Ate less fat
whd100e,Skipped meals
whd100f,Ate diet foods or products
whd100g,Used a liquid diet formula
whd100h,Joined a weight loss program
whd100i,Took prescription diet pills
whd100j,Took non-prescription diet pills
whd100k,Took laxatives or vomited
whd100l,Other
whd100m,Drank a lot of water
whd100n,Followed a special diet
whq150,Age when heaviest weight
alq101,Had at least 12 alcohol drinks/1 yr?
bmdstats,Body Measures Component Status Code
bmdrecuf,Height-Length difference flagged
bmdsubf,Unusual value noted during data review
bmdthicf,Unusual value noted during data review
bmdlegf,Unusual value noted during data review
bmdarmlf,Unusual value noted during data review
bmdcalff,Unusual value noted during data review
bpxsy1,Systolic:  Blood pres (1st rdg) mm Hg
bpxdi1,Diastolic:  Blood pres (1st rdg) mm Hg
bpxsy2,Systolic:  Blood pres (2nd rdg) mm Hg
bpxdi2,Diastolic: Blood pres (2nd rdg) mm Hg
bpxsy3,Systolic:  Blood pres (3rd rdg) mm Hg
bpxdi3,Diastolic: Blood pres (3rd rdg) mm Hg
bpxsy4,Systolic: Blood pres (4th rdg) mm Hg
bpxdi4,Diastolic:  Blood pres (4th rdg) mm Hg
dbq071a,Type of milk first fed - whole milk
dbq071b,Type of milk first fed - 2% milk
dbq071c,Type of milk first fed - 1% milk
dbq071d,Type of milk first fed - skim/nonfat
dbq071u,Type of milk first fed - other
dbd197,Past 30 day milk product consumption
dbq221a,You drink whole or regular milk
dbq221b,You drink 2% fat milk
dbq221c,You drink 1% fat milk
dbq221d,"You drink skim, nonfat or .5% milk"
dbq221u,You drink another type of milk
dbq229,Regular milk drinker
dbq235a,How often drank milk age 5-12
dbq235b,How often drank milk age 13-17
dbq235c,How often drank milk age 18-35
dbq301,Community/Government meals delivered
dbq421,School breakfast free/reduced/full price
dbq424,Summer program meal free/reduced price
sialang,Language of SP Interview
siaproxy,Proxy used in SP Interview?
siaintrp,Interpreter used in SP Interview?
fialang,Language of Family Interview
fiaproxy,Proxy used in Family Interview?
fiaintrp,Interpreter used in Family Interview?
mialang,Language of MEC Interview
miaproxy,Proxy used in MEC Interview?
miaintrp,Interpreter used in MEC Interview?
aialang,Language of ACASI Interview
did060q,Number of mons/yrs taking insulin
dr1drstz,Dietary recall status
dr1exmer,Interviewer ID code
dr1day,Intake day of the week
dr1lang,Language SP/Proxy used mostly
dr1mnrsp,Main respondent for this interview
dr1helpd,Helped in responding for this interview
dbq095z,Type of salt you use
drqsprep,Salt used in preparation?
drqsdiet,On special diet?
drqsdt1,Weight loss/low cal/low carb/hi pro diet
drqsdt2,Low fat/ Low cholesterol diet
drqsdt3,Low salt/ Low sodium diet
drqsdt4,Sugar free/ low sugar diet
drqsdt5,Low fiber diet
drqsdt6,High fiber diet
drqsdt7,Diabetic diet
drqsdt8,Weight gain/ Muscle building diet
drqsdt91,Other special diet
dr1tnumf,Number of foods
dr1tkcal,Energy (kcal)
dr1tprot,Protein (gm)
dr1tcarb,Carbohydrate (gm)
dr1tsugr,Total sugars (gm)
dr1tfibe,Dietary fiber (gm)
dr1ttfat,Total fat (gm)
dr1tsfat,Total saturated fatty acids (gm)
dr1tmfat,Total monounsaturated fatty acids (gm)
dr1tpfat,Total polyunsaturated fatty acids (gm)
dr1tchol,Cholesterol (mg)
dr1tatoc,Vitamin E as alpha-tocopherol (mg)
dr1tatoa,Added alpha-tocopherol (Vitamin E) (mg)
dr1tret,Retinol (mcg)
dr1tvara,"Vitamin A, RAE (mcg)"
dr1tacar,Alpha-carotene (mcg)
dr1tbcar,Beta-carotene (mcg)
dr1tcryp,Beta-cryptoxanthin (mcg)
dr1tlyco,Lycopene (mcg)
dr1tlz,Lutein + zeaxanthin (mcg)
dr1tvb1,Thiamin (Vitamin B1) (mg)
dr1tvb2,Riboflavin (Vitamin B2) (mg)
dr1tniac,Niacin (mg)
dr1tvb6,Vitamin B6 (mg)
dr1tfola,Total Folate (mcg)
dr1tfa,Folic acid (mcg)
dr1tff,Food folate (mcg)
dr1tfdfe,"Folate, DFE (mcg)"
dr1tvb12,Vitamin B12 (mcg)
dr1tb12a,Added vitamin B12 (mcg)
dr1tvc,Vitamin C (mg)
dr1tvk,Vitamin K (mcg)
dr1tcalc,Calcium (mg)
dr1tphos,Phosphorus (mg)
dr1tmagn,Magnesium (mg)
dr1tiron,Iron (mg)
dr1tzinc,Zinc (mg)
dr1tcopp,Copper (mg)
dr1tsodi,Sodium (mg)
dr1tpota,Potassium (mg)
dr1tsele,Selenium (mcg)
dr1tcaff,Caffeine (mg)
dr1ttheo,Theobromine (mg)
dr1talco,Alcohol (gm)
dr1tmois,Moisture (gm)
dr1ts040,SFA 4:0 (Butanoic) (gm)
dr1ts060,SFA 6:0 (Hexanoic) (gm)
dr1ts080,SFA 8:0 (Octanoic) (gm)
dr1ts100,SFA 10:0 (Decanoic) (gm)
dr1ts120,SFA 12:0 (Dodecanoic) (gm)
dr1ts140,SFA 14:0 (Tetradecanoic) (gm)
dr1ts160,SFA 16:0 (Hexadecanoic) (gm)
dr1ts180,SFA 18:0 (Octadecanoic) (gm)
dr1tm161,MFA 16:1 (Hexadecenoic) (gm)
dr1tm181,MFA 18:1 (Octadecenoic) (gm)
dr1tm201,MFA 20:1 (Eicosenoic) (gm)
dr1tm221,MFA 22:1 (Docosenoic) (gm)
dr1tp182,PFA 18:2 (Octadecadienoic) (gm)
dr1tp183,PFA 18:3 (Octadecatrienoic) (gm)
dr1tp184,PFA 18:4 (Octadecatetraenoic) (gm)
dr1tp204,PFA 20:4 (Eicosatetraenoic) (gm)
dr1tp205,PFA 20:5 (Eicosapentaenoic) (gm)
dr1tp225,PFA 22:5 (Docosapentaenoic) (gm)
dr1tp226,PFA 22:6 (Docosahexaenoic) (gm)
dr1_300,Compare food consumed yesterday to usual
dr1_320,Total plain water drank yesterday (gm)
dr1_330,Total tap water drank yesterday (gm)
dr1bwatr,Total bottled water drank yesterday (gm)
dr1cwatr,Plain carbonated water (gm)
dr1tws,Tap water source
dr2drstz,Dietary recall status
dr2exmer,Interviewer ID code
dr2day,Intake day of the week
dr2lang,Language SP/Proxy used mostly
dr2mnrsp,Main respondent for this interview
dr2helpd,Helped in responding for this interview
dr2tnumf,Number of foods
dr2tkcal,Energy (kcal)
dr2tprot,Protein (gm)
dr2tcarb,Carbohydrate (gm)
dr2tsugr,Total sugars (gm)
dr2tfibe,Dietary fiber (gm)
dr2ttfat,Total fat (gm)
dr2tsfat,Total saturated fatty acids (gm)
dr2tmfat,Total monounsaturated fatty acids (gm)
dr2tpfat,Total polyunsaturated fatty acids (gm)
dr2tchol,Cholesterol (mg)
dr2tatoc,Vitamin E as alpha-tocopherol (mg)
dr2tatoa,Added alpha-tocopherol (Vitamin E) (mg)
dr2tret,Retinol (mcg)
dr2tvara,"Vitamin A, RAE (mcg)"
dr2tacar,Alpha-carotene (mcg)
dr2tbcar,Beta-carotene (mcg)
dr2tcryp,Beta-cryptoxanthin (mcg)
dr2tlyco,Lycopene (mcg)
dr2tlz,Lutein + zeaxanthin (mcg)
